student_number,student_id,rdm_condition,condition_assignment,initial_school_id,initial_teacher_id,initial_teacher_class,initial_section_number,final_school_id,final_teacher_id,final_teacher_class,final_section_number,courseName,movement,KEEP,student_raceEthnicityFed,student_hispanicEthnicity,FEMALE,MALE,LevelTested,ScaleScore,PerformanceLevel,EIP,EL_PARENT_DENIED,ESOL_C,ESOL_FORMER,ESOL,GIFTED,IEP,IST,LEPM1,LEPM2,LEPM3,LEPM4,SECTION504,SST,IN5,AbsentDays5,PresentDays5,UnexcusedDays5,MOBILE5,G5SCHOOL,G5SCHOOL2,G5SCHOOL3,MEMBERSHIPDAYS5,ADM5,ADA5,Absencesavg.Daily5,PercentInAttendance5,IN6,AbsentDays6,PresentDays6,UnexcusedDays6,MOBILE6,G6SCHOOL,G6SCHOOL2,G6SCHOOL3,MEMBERSHIPDAYS6,ADM6,ADA6,Absencesavg.Daily6,PercentInAttendance6,userID,xref,o_total_multimedia_tasks,o_total_multiple_choice_tasks,o_total_goal_state_tasks,o_total_canvas_tasks,o_total_line_it_up_tasks,o_total_hot_spot_tasks,o_game_best_step,o_completed_best_step,o_worlds_attempted,o_worlds_cleared,o_worlds_completed,o_avg_time_session,o_avg_problem_session,o_avg_completion_session,o_seen,o_tried,o_num_visit,o_total_autogradable,o_distinct_completed,o_percentage_completed,o_total_completed,o_total_finished,o_total_correct,o_first_completed,o_percent_first_completed,o_total_goback,o_avg_gobacks,o_percent_gobacks,o_distinct_reset,o_total_reset,o_avg_resets,o_percentage_reset,o_num_attempts,o_avg_attempts,o_percent_attempts_completed,o_use_hint,o_percentage_hint,o_clover_highest,o_avg_clover_highest,o_clover_first,o_avg_clover_first,o_clover_last,o_avg_clover_last,o_time_interaction,o_time_interaction_in_min,o_avg_time_problem_in_min,o_avg_time_per_step,o_time_first,o_avg_time_first,o_avg_time_interaction_first,o_avg_time_interaction_first_percent,o_time_last,o_avg_time_last,o_avg_time_interaction_last,o_avg_time_interaction_last_percent,o_interaction_step_first,o_percent_interaction_step_first,o_interaction_step_last,o_percent_interaction_step_last,o_user_total_step,o_user_step_first,o_avg_first_efficiency,o_avg_first_more_step,o_user_last_step,o_avg_last_efficiency,o_avg_last_more_step,o_error,o_percent_error,o_total_error,o_avg_total_error,o_first_error,o_avg_first_error,o_last_error,o_avg_last_error,o_keypad_error,o_first_keypad_error,o_last_keypad_error,o_shaking_error,o_first_shaking_error,o_last_shaking_error,o_snapping_error,o_first_snapping_error,o_last_snapping_error
151217,F7S0501-322,FH2T,FH2T,S05,F7T0501,F7T0501-1,14,S05,F7T0501,F7T0501-1,14,Accelerated Mathematics,INPERSON,1,1,Y,0,1,Grade 5,678,Distinguished Learner,0,0,0,0,0,0,0,0,0,0,,,0,0,1,3,176,2,1,SETTLES BRIDGE,,,179,1,0.98,0.01,98.32,1,1.23,176.77,0.84,1,RMS,,,178,1,0.99,0,99.31,2757,5eb304e0-cf6b-0138-7c3a-0cfcc1c8a682,0.00,0.00,252.00,0.00,0.00,0.00,974.00,496,9.00,8.00,8.00,1463958.21,28.43,28.43,154.00,153.00,237.00,252.00,153.00,0.61,199.00,153.00,153.00,105.00,0.69,28.00,N/A,0.18,46.00,202.00,1.31,0.30,447.00,2.9,0.45,8.00,0.05,446.00,2.9,297.00,1.93,446.00,2.9,10247710.00,170.80,1.11,6719.81,3961069.00,25889.34,11034.19,0.46,3479040.00,22738.82,8148.06,0.36,113.00,0.74,123.00,0.8,1525.00,0.00,0.95,0.21,522.00,0.99,0.17,73.00,0.47,598.00,3.88,185.00,1.2,110.00,0.72,77.00,50.00,12.00,372.00,96.00,73.00,149.00,39.00,25.00
118625,F7S0501-118,FH2T,FH2T,S05,F7T0501,F7T0501-1,14,S05,F7T0501,F7T0501-1,14,Accelerated Mathematics,INPERSON,1,6,N,1,0,Grade 5,686,Distinguished Learner,0,0,0,0,0,0,0,0,0,0,,,0,0,1,2,177,0,1,COAL MTN,,,179,1,0.99,0,98.88,1,0,178,0,1,NFMS,,,178,1,1,0,100,2762,51f14fc0-cf6b-0138-7bd5-0cfcc1c8a682,0.00,0.00,252.00,0.00,0.00,0.00,974.00,538,12.00,11.00,3.00,1686601.69,22.13,22.13,171.00,170.00,200.00,252.00,168.00,0.67,177.00,168.00,168.00,119.00,0.71,9.00,N/A,0.05,49.00,124.00,0.73,0.29,333.00,1.95,0.53,14.00,0.08,446.00,2.61,326.00,1.91,446.00,2.61,13492816.00,224.88,1.32,12133.83,5881117.50,34594.81,11819.75,0.45,4948252.00,29453.88,8732.1,0.37,122.00,0.72,130.00,0.77,1112.00,0.00,0.94,0.34,625.00,0.93,0.52,82.00,0.48,426.00,2.49,196.00,1.15,142.00,0.85,82.00,34.00,37.00,159.00,76.00,45.00,185.00,86.00,60.00
141933,F7S0501-317,FH2T,FH2T,S05,F7T0501,F7T0501-1,14,S05,F7T0501,F7T0501-1,14,Accelerated Mathematics,INPERSON,1,6,N,0,1,Grade 5,617,Distinguished Learner,0,0,0,0,0,1,1,0,0,0,,,0,0,1,0,179,0,1,SILVER CITY,,,179,1,1,0,100,1,0.51,177.49,0.25,1,NFMS,,,178,1,1,0,99.71,2751,5d7dd850-cf6b-0138-7c30-0cfcc1c8a682,0.00,0.00,252.00,0.00,0.00,0.00,974.00,417,9.00,8.00,3.00,1234674.56,21.57,18.88,138.00,135.00,177.00,252.00,134.00,0.53,151.00,134.00,134.00,91.00,0.68,15.00,N/A,0.11,45.00,139.00,1.01,0.33,320.00,2.32,0.47,14.00,0.10,372.00,2.7,253.00,1.83,372.00,2.7,9877400.00,164.62,1.19,10182.89,3210711.00,23783.04,11816.9,0.47,2984185.00,22270.04,11645.1,0.37,96.00,0.71,110.00,0.82,970.00,0.00,0.94,0.29,457.00,0.95,0.3,62.00,0.45,375.00,2.72,165.00,1.2,79.00,0.59,128.00,62.00,30.00,162.00,70.00,32.00,83.00,33.00,17.00
116622,F7S0501-111,FH2T,FH2T,S05,F7T0501,F7T0501-1,14,S05,F7T0501,F7T0501-1,14,Accelerated Mathematics,INPERSON,1,3,N,0,1,Grade 5,630,Distinguished Learner,0,0,0,0,0,1,0,0,0,0,,,0,0,1,3,176,2,1,COAL MTN,,,179,1,0.98,0.01,98.32,1,0,178,0,1,NFMS,,,178,1,1,0,100,2753,50604540-cf6b-0138-7bc8-0cfcc1c8a682,0.00,0.00,252.00,0.00,0.00,0.00,974.00,737,14.00,14.00,1.00,1411564.78,28.56,28.56,211.00,207.00,289.00,252.00,205.00,0.81,257.00,205.00,205.00,148.00,0.72,50.00,N/A,0.24,60.00,134.00,0.64,0.28,428.00,2.03,0.6,27.00,0.13,567.00,2.69,415.00,1.97,565.00,2.68,12704086.50,211.73,1,7935.09,5322877.00,25714.38,10697.13,0.46,4684732.00,22852.35,7182.26,0.38,165.00,0.8,174.00,0.85,1601.00,0.00,0.96,0.27,807.00,0.96,0.34,90.00,0.43,481.00,2.28,146.00,0.69,108.00,0.53,160.00,19.00,14.00,145.00,57.00,49.00,176.00,70.00,45.00
118488,F7S0501-115,FH2T,FH2T,S05,F7T0501,F7T0501-1,14,S05,F7T0501,F7T0501-1,14,Accelerated Mathematics,INPERSON,1,6,N,0,1,Grade 5,686,Distinguished Learner,0,0,0,0,0,1,0,0,0,0,,,0,0,1,0,179,0,1,KELLY MILL,,,179,1,1,0,100,1,1.46,176.54,1.37,1,VCMS,,,178,1,0.99,0.01,99.18,2756,51457b00-cf6b-0138-7bcf-0cfcc1c8a682,0.00,0.00,252.00,0.00,0.00,0.00,974.00,840,14.00,14.00,9.00,1436257.5,31.67,31.67,234.00,234.00,330.00,252.00,232.00,0.92,285.00,232.00,232.00,169.00,0.73,40.00,N/A,0.17,68.00,172.00,0.74,0.29,522.00,2.23,0.55,15.00,0.06,638.00,2.73,470.00,2.01,637.00,2.72,12926321.00,215.44,0.92,7311.27,5861330.50,25048.42,8449.27,0.44,5677337.00,24471.28,6467.45,0.35,195.00,0.83,199.00,0.86,1768.00,0.00,0.95,0.32,949.00,0.95,0.47,90.00,0.38,477.00,2.04,171.00,0.73,129.00,0.56,63.00,35.00,20.00,179.00,58.00,50.00,233.00,76.00,59.00
120181,F7S0501-222,FH2T,FH2T,S05,F7T0501,F7T0501-1,14,S05,F7T0501,F7T0501-1,14,Accelerated Mathematics,INPERSON,1,6,N,0,1,Grade 5,617,Distinguished Learner,0,0,0,0,0,0,0,0,0,0,,,0,0,1,7,172,4,1,SILVER CITY,,,179,1,0.96,0.02,96.09,1,11.42,166.58,4.08,1,NFMS,,,178,1,0.94,0.02,93.58,2768,579f7790-cf6b-0138-7c03-0cfcc1c8a682,0.00,0.00,252.00,0.00,0.00,0.00,974.00,401,9.00,8.00,1.00,1117599.58,23.17,23.17,134.00,130.00,153.00,252.00,129.00,0.51,139.00,129.00,129.00,87.00,0.67,10.00,N/A,0.08,43.00,80.00,0.6,0.32,234.00,1.75,0.59,3.00,0.02,359.00,2.68,250.00,1.87,359.00,2.68,6705600.00,111.76,0.83,8227.73,3998126.50,30754.82,14643.23,0.48,3383998.00,26232.54,9789.27,0.35,93.00,0.72,99.00,0.77,815.00,0.00,0.97,0.15,438.00,0.96,0.29,68.00,0.51,320.00,2.39,145.00,1.08,121.00,0.94,67.00,29.00,27.00,155.00,61.00,50.00,98.00,55.00,44.00
163704,F7S0501-328,FH2T,FH2T,S05,F7T0501,F7T0501-1,14,S05,F7T0501,F7T0501-1,14,Accelerated Mathematics,INPERSON,1,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.9,174.1,2.66,1,NFMS,,,178,1,0.98,0.01,97.81,2755,6029a8e0-cf6b-0138-7c46-0cfcc1c8a682,0.00,0.00,252.00,0.00,0.00,0.00,974.00,451,10.00,9.00,0.00,1273572.06,24,16,144.00,143.00,162.00,252.00,142.00,0.56,144.00,142.00,142.00,107.00,0.75,2.00,N/A,0.01,38.00,116.00,0.81,0.26,283.00,1.97,0.51,37.00,0.26,375.00,2.6,295.00,2.05,375.00,2.6,11462152.50,191.04,1.33,11226.4,4891793.50,34208.35,15633.1,0.5,4225692.00,29758.39,11508.92,0.41,116.00,0.81,115.00,0.81,1021.00,0.00,0.94,0.38,553.00,0.92,0.72,60.00,0.42,531.00,3.69,174.00,1.21,159.00,1.12,86.00,28.00,24.00,356.00,111.00,103.00,89.00,35.00,32.00
119123,F7S0501-209,FH2T,FH2T,S05,F7T0501,F7T0501-1,14,S05,F7T0501,F7T0501-1,14,Accelerated Mathematics,INPERSON,1,6,N,0,1,Grade 5,678,Distinguished Learner,0,0,0,0,0,0,0,0,0,0,,,0,0,1,5,174,4,1,SILVER CITY,,,179,1,0.97,0.02,97.21,1,4.68,173.32,3.82,1,NFMS,,,178,1,0.97,0.02,97.37,2760,54b0cfe0-cf6b-0138-7bea-0cfcc1c8a682,0.00,0.00,252.00,0.00,0.00,0.00,974.00,632,11.00,10.00,9.00,1337115.67,28.25,25.11,190.00,190.00,253.00,252.00,189.00,0.75,226.00,189.00,189.00,145.00,0.77,27.00,N/A,0.14,47.00,117.00,0.62,0.25,387.00,2.04,0.58,11.00,0.06,554.00,2.92,408.00,2.15,554.00,2.92,11734045.50,195.57,1.03,10590.29,5976903.50,31457.39,15196.05,0.49,4795004.00,25370.39,11840.36,0.41,155.00,0.82,161.00,0.85,1108.00,0.00,0.95,0.22,649.00,0.99,0.09,83.00,0.44,270.00,1.42,150.00,0.79,105.00,0.56,24.00,23.00,10.00,105.00,57.00,46.00,141.00,70.00,49.00
120149,F7S0501-221,FH2T,FH2T,S05,F7T0501,F7T0501-1,14,S05,F7T0501,F7T0501-1,14,Accelerated Mathematics,INPERSON,1,6,N,1,0,Grade 5,648,Distinguished Learner,0,0,0,0,0,0,0,0,0,0,,,0,0,1,3,176,0,1,SILVER CITY,,,179,1,0.98,0,98.32,1,3.73,174.27,0.13,1,NFMS,,,178,1,0.98,0,97.9,2759,57630940-cf6b-0138-7c01-0cfcc1c8a682,0.00,0.00,252.00,0.00,0.00,0.00,974.00,718,13.00,12.00,7.00,1644772.06,31.11,31.11,211.00,210.00,318.00,252.00,206.00,0.82,280.00,206.00,206.00,144.00,0.7,50.00,N/A,0.24,74.00,178.00,0.84,0.35,507.00,2.4,0.55,36.00,0.17,575.00,2.73,401.00,1.9,575.00,2.73,14802950.50,246.72,1.17,8237.59,6224927.50,29642.51,11139.4,0.46,5288502.00,25672.34,7956.3,0.37,172.00,0.82,170.00,0.83,1797.00,0.00,0.95,0.26,785.00,0.96,0.33,108.00,0.51,379.00,1.8,141.00,0.67,121.00,0.59,28.00,13.00,18.00,99.00,41.00,37.00,251.00,87.00,66.00
120451,F7S0501-224,FH2T,FH2T,S05,F7T0501,F7T0501-2,16,S05,F7T0501,F7T0501-2,16,Mathematics,INPERSON,1,6,N,1,0,Grade 5,585,Distinguished Learner,0,0,0,0,0,1,0,0,0,0,,,0,0,1,11,168,6,1,COAL MTN,,,179,1,0.94,0.03,93.85,1,8.19,169.81,4.89,1,NFMS,,,178,1,0.95,0.03,95.4,2793,580d7e70-cf6b-0138-7c06-0cfcc1c8a682,0.00,0.00,252.00,0.00,0.00,0.00,974.00,428,9.00,8.00,6.00,1350516.72,21.78,21.78,144.00,144.00,233.00,252.00,142.00,0.56,196.00,142.00,142.00,102.00,0.72,28.00,N/A,0.2,44.00,97.00,0.67,0.31,347.00,2.41,0.56,23.00,0.16,415.00,2.88,281.00,1.95,415.00,2.88,12443049.00,207.38,1.44,11975.99,5457554.50,37899.68,16497.08,0.48,3758838.00,26470.69,12602.3,0.39,108.00,0.75,106.00,0.75,1039.00,0.00,0.93,0.37,445.00,0.99,0.12,64.00,0.44,274.00,1.9,142.00,0.99,64.00,0.45,56.00,42.00,11.00,124.00,59.00,28.00,94.00,41.00,25.00
